rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
430,บุหรี่,2,6,common,easy,[b/u/] | [r/ii/],buri,booree; boori; boorii; buree; buri; burii
447,โดยรวม,2,2,common,easy,[d/oo/j] | [r/ua/m],doiruam,doiruaam; doiruam
449,นโยบาย,3,8,compound,medium,[n/a/] | [j/oo/] | [b/aa/j],nayobai,nahyobaai; nahyobai; nahyohbaai; nahyohbai; nayobaai; nayobai; nayohbaai; nayohbai
464,ต้องการ,2,64,variant,medium,[t/OO/N] | [k/aa/n],tongkan,dtawnggaan; dtawnggahn; dtawnggan; dtawnggarn; dtawngkaan; dtawngkahn; dtawngkan; dtawngkarn; dtohnggaan; dtohnggahn; dtohnggan; dtohnggarn; dtohngkaan; dtohngkahn; dtohngkan; dtohngkarn; dtonggaan; dtonggahn; dtonggan; dtonggarn; dtongkaan; dtongkahn; dtongkan; dtongkarn; dtornggaan; dtornggahn; dtornggan; dtornggarn; dtorngkaan; dtorngkahn; dtorngkan; dtorngkarn; tawnggaan; tawnggahn; tawnggan; tawnggarn; tawngkaan; tawngkahn; tawngkan; tawngkarn; tohnggaan; tohnggahn; tohnggan; tohnggarn; tohngkaan; tohngkahn; tohngkan; tohngkarn; tonggaan; tonggahn
468,หลัก,1,6,common,easy,[l/a/k],lak,lag; lahg; lahk; lak; lug; luk
519,การเลือกตั้ง,3,100,compound,medium,[k/aa/n] | [l/UUa/k] | [t/a/N],kanlueaktang,gaanleuagdtahng; gaanleuagdtang; gaanleuagdtung; gaanleuagtahng; gaanleuagtang; gaanleuagtung; gaanleuakdtahng; gaanleuakdtang; gaanleuakdtung; gaanleuaktahng; gaanleuaktang; gaanleuaktung; gaanlueaagdtahng; gaanlueaagdtang; gaanlueaagdtung; gaanlueaagtahng; gaanlueaagtang; gaanlueaagtung; gaanlueaakdtahng; gaanlueaakdtang; gaanlueaakdtung; gaanlueaaktahng; gaanlueaaktang; gaanlueaaktung; gaanlueagdtahng; gaanlueagdtang; gaanlueagdtung; gaanlueagtahng; gaanlueagtang; gaanlueagtung; gaanlueakdtahng; gaanlueakdtang; gaanlueakdtung; gaanlueaktahng; gaanlueaktang; gaanlueaktung; gahnleuagdtahng; gahnleuagdtang; gahnleuagdtung; gahnleuagtahng; gahnleuagtang; gahnleuagtung; gahnleuakdtahng; gahnleuakdtang; gahnleuakdtung; gahnleuaktahng; gahnleuaktang; gahnleuaktung; gahnlueaagdtahng; gahnlueaagdtang
571,ปิ้ง,1,2,common,easy,[p/i/N],ping,bping; ping
624,เลิก,1,10,common,easy,[l/@@/k],loek,leog; leok; lerg; lerk; loeg; loek; luhg; luhk; lurg; lurk
635,อยู่แล้ว,2,24,variant,medium,[j/uu/] | [l/xx/w],yulaeo,yoolaaeo; yoolaaeu; yoolaaew; yoolaeo; yoolaeu; yoolaew; youlaaeo; youlaaeu; youlaaew; youlaeo; youlaeu; youlaew; yulaaeo; yulaaeu; yulaaew; yulaeo; yulaeu; yulaew; yuulaaeo; yuulaaeu; yuulaaew; yuulaeo; yuulaeu; yuulaew
689,ทะเล,2,20,variant,medium,[th/a/] | [l/ee/],thale,tahlae; tahlay; tahle; tahlee; tahleh; talae; talay; tale; talee; taleh; thahlae; thahlay; thahle; thahlee; thahleh; thalae; thalay; thale; thalee; thaleh
736,ประจำ,2,12,variant,medium,[pr/a/] | [c/a/m],pracham,prachahm; pracham; prachum; prahchahm; prahcham; prahchum; prahjahm; prahjam; prahjum; prajahm; prajam; prajum
763,ติดตาม,2,32,variant,medium,[t/i/t] | [t/aa/m],tittam,dtiddtaam; dtiddtahm; dtiddtam; dtiddtarm; dtidtaam; dtidtahm; dtidtam; dtidtarm; dtitdtaam; dtitdtahm; dtitdtam; dtitdtarm; dtittaam; dtittahm; dtittam; dtittarm; tiddtaam; tiddtahm; tiddtam; tiddtarm; tidtaam; tidtahm; tidtam; tidtarm; titdtaam; titdtahm; titdtam; titdtarm; tittaam; tittahm; tittam; tittarm
786,สถาบัน,3,48,compound,medium,[s/a/] | [th/aa/] | [b/a/n],sathaban,sahtaabahn; sahtaaban; sahtaabun; sahtabahn; sahtaban; sahtabun; sahtahbahn; sahtahban; sahtahbun; sahtarbahn; sahtarban; sahtarbun; sahthaabahn; sahthaaban; sahthaabun; sahthabahn; sahthaban; sahthabun; sahthahbahn; sahthahban; sahthahbun; sahtharbahn; sahtharban; sahtharbun; sataabahn; sataaban; sataabun; satabahn; sataban; satabun; satahbahn; satahban; satahbun; satarbahn; satarban; satarbun; sathaabahn; sathaaban; sathaabun; sathabahn; sathaban; sathabun; sathahbahn; sathahban; sathahbun; satharbahn; satharban; satharbun
816,หน้าตา,2,64,variant,medium,[nh/aa/] | [t/aa/],nata,naadta; naadtaa; naadtah; naadtar; naata; naataa; naatah; naatar; nadta; nadtaa; nadtah; nadtar; nahdta; nahdtaa; nahdtah; nahdtar; nahta; nahtaa; nahtah; nahtar; nardta; nardtaa; nardtah; nardtar; narta; nartaa; nartah; nartar; nata; nataa; natah; natar; nhaadta; nhaadtaa; nhaadtah; nhaadtar; nhaata; nhaataa; nhaatah; nhaatar; nhadta; nhadtaa; nhadtah; nhadtar; nhahdta; nhahdtaa; nhahdtah; nhahdtar; nhahta; nhahtaa
899,แพทย์,1,8,common,medium,[ph/xx/t],phaet,paaed; paaet; paed; paet; phaaed; phaaet; phaed; phaet
911,ชาบู,2,32,variant,medium,[ch/aa/] | [b/uu/],chabu,chaaboo; chaabou; chaabu; chaabuu; chaboo; chabou; chabu; chabuu; chahboo; chahbou; chahbu; chahbuu; charboo; charbou; charbu; charbuu; shaaboo; shaabou; shaabu; shaabuu; shaboo; shabou; shabu; shabuu; shahboo; shahbou; shahbu; shahbuu; sharboo; sharbou; sharbu; sharbuu
913,เจ้าของ,2,96,variant,medium,[c/aa/w] | [kh/OO/N],chaokhong,chaaokawng; chaaokhawng; chaaokhohng; chaaokhong; chaaokhorng; chaaokohng; chaaokong; chaaokorng; chaaukawng; chaaukhawng; chaaukhohng; chaaukhong; chaaukhorng; chaaukohng; chaaukong; chaaukorng; chaawkawng; chaawkhawng; chaawkhohng; chaawkhong; chaawkhorng; chaawkohng; chaawkong; chaawkorng; chaokawng; chaokhawng; chaokhohng; chaokhong; chaokhorng; chaokohng; chaokong; chaokorng; chaukawng; chaukhawng; chaukhohng; chaukhong; chaukhorng; chaukohng; chaukong; chaukorng; chawkawng; chawkhawng; chawkhohng; chawkhong; chawkhorng; chawkohng; chawkong; chawkorng; jaaokawng; jaaokhawng
930,ทำได้,2,12,variant,medium,[th/a/m] | [d/aa/j],thamdai,tahmdaai; tahmdai; tamdaai; tamdai; thahmdaai; thahmdai; thamdaai; thamdai; thumdaai; thumdai; tumdaai; tumdai
1008,นัด,1,6,common,easy,[n/a/t],nat,nad; nahd; naht; nat; nud; nut
1040,ภาษี,2,24,variant,medium,[ph/aa/] | [s/ii/],phasi,paasee; paasi; paasii; pahsee; pahsi; pahsii; parsee; parsi; parsii; pasee; pasi; pasii; phaasee; phaasi; phaasii; phahsee; phahsi; phahsii; pharsee; pharsi; pharsii; phasee; phasi; phasii
1079,ความปลอดภัย,3,100,compound,medium,[khw/aa/m] | [pl/OO/t] | [ph/aj/],khwamplotphai,khwaamplawdpaai; khwaamplawdpai; khwaamplawdpaii; khwaamplawdphaai; khwaamplawdphai; khwaamplawdphaii; khwaamplawtpaai; khwaamplawtpai; khwaamplawtpaii; khwaamplawtphaai; khwaamplawtphai; khwaamplawtphaii; khwaamplodpaai; khwaamplodpai; khwaamplodpaii; khwaamplodphaai; khwaamplodphai; khwaamplodphaii; khwaamplohdpaai; khwaamplohdpai; khwaamplohdpaii; khwaamplohdphaai; khwaamplohdphai; khwaamplohdphaii; khwaamplohtpaai; khwaamplohtpai; khwaamplohtpaii; khwaamplohtphaai; khwaamplohtphai; khwaamplohtphaii; khwaamplordpaai; khwaamplordpai; khwaamplordpaii; khwaamplordphaai; khwaamplordphai; khwaamplordphaii; khwaamplortpaai; khwaamplortpai; khwaamplortpaii; khwaamplortphaai; khwaamplortphai; khwaamplortphaii; khwaamplotpaai; khwaamplotpai; khwaamplotpaii; khwaamplotphaai; khwaamplotphai; khwaamplotphaii; khwahmplawdpaai; khwahmplawdpai
1099,โรงงาน,2,8,common,easy,[r/oo/N] | [N/aa/n],rongngan,rohngngaan; rohngngahn; rohngngan; rohngngarn; rongngaan; rongngahn; rongngan; rongngarn
1115,ฟ้า,1,4,common,easy,[f/aa/],fa,fa; faa; fah; far
1129,วัฒนธรรม,4,100,compound,hard,[w/a/t] | [th/a/] | [n/a/] | [th/a/m],watthanatham,vadtahnahtahm; vadtahnahtam; vadtahnahthahm; vadtahnahtham; vadtahnahthum; vadtahnahtum; vadtahnatahm; vadtahnatam; vadtahnathahm; vadtahnatham; vadtahnathum; vadtahnatum; vadtanahtahm; vadtanahtam; vadtanahthahm; vadtanahtham; vadtanahthum; vadtanahtum; vadtanatahm; vadtanatam; vadtanathahm; vadtanatham; vadtanathum; vadtanatum; vadthahnahtahm; vadthahnahtam; vadthahnahthahm; vadthahnahtham; vadthahnahthum; vadthahnahtum; vadthahnatahm; vadthahnatam; vadthahnathahm; vadthahnatham; vadthahnathum; vadthahnatum; vadthanahtahm; vadthanahtam; vadthanahthahm; vadthanahtham; vadthanahthum; vadthanahtum; vadthanatahm; vadthanatam; vadthanathahm; vadthanatham; vadthanathum; vadthanatum; vahdtahnahtahm; vahdtahnahtam
1226,ผลประโยชน์,3,32,compound,medium,[ph/o/n] | [pr/a/] | [j/oo/t],phonprayot,phohnprahyod; phohnprahyohd; phohnprahyoht; phohnprahyot; phohnprayod; phohnprayohd; phohnprayoht; phohnprayot; phonprahyod; phonprahyohd; phonprahyoht; phonprahyot; phonprayod; phonprayohd; phonprayoht; phonprayot; pohnprahyod; pohnprahyohd; pohnprahyoht; pohnprahyot; pohnprayod; pohnprayohd; pohnprayoht; pohnprayot; ponprahyod; ponprahyohd; ponprahyoht; ponprahyot; ponprayod; ponprayohd; ponprayoht; ponprayot
1229,เห,1,5,edge,easy,[h/ee/],he,hae; hay; he; hee; heh
1248,สัน,1,3,common,easy,[s/a/n],san,sahn; san; sun
1251,รุนแรง,2,4,common,easy,[r/u/n] | [r/xx/N],runraeng,roonraaeng; roonraeng; runraaeng; runraeng
1260,วง,1,4,edge,easy,[w/o/N],wong,vohng; vong; wohng; wong
1332,หลุด,1,4,common,easy,[l/u/t],lut,lood; loot; lud; lut
1344,กันที่,2,36,variant,medium,[k/a/n] | [th/ii/],kanthi,gahntee; gahnthee; gahnthi; gahnthii; gahnti; gahntii; gantee; ganthee; ganthi; ganthii; ganti; gantii; guntee; gunthee; gunthi; gunthii; gunti; guntii; kahntee; kahnthee; kahnthi; kahnthii; kahnti; kahntii; kantee; kanthee; kanthi; kanthii; kanti; kantii; kuntee; kunthee; kunthi; kunthii; kunti; kuntii
1414,อุตสาหกรรม,4,100,compound,hard,[?/u/t] | [s/aa/] | [h/a/] | [k/a/m],utsahakam,oodsaahagahm; oodsaahagam; oodsaahagum; oodsaahahgahm; oodsaahahgam; oodsaahahgum; oodsaahahkahm; oodsaahahkam; oodsaahahkum; oodsaahakahm; oodsaahakam; oodsaahakum; oodsahagahm; oodsahagam; oodsahagum; oodsahahgahm; oodsahahgam; oodsahahgum; oodsahahkahm; oodsahahkam; oodsahahkum; oodsahakahm; oodsahakam; oodsahakum; oodsahhagahm; oodsahhagam; oodsahhagum; oodsahhahgahm; oodsahhahgam; oodsahhahgum; oodsahhahkahm; oodsahhahkam; oodsahhahkum; oodsahhakahm; oodsahhakam; oodsahhakum; oodsarhagahm; oodsarhagam; oodsarhagum; oodsarhahgahm; oodsarhahgam; oodsarhahgum; oodsarhahkahm; oodsarhahkam; oodsarhahkum; oodsarhakahm; oodsarhakam; oodsarhakum; ootsaahagahm; ootsaahagam
1462,จัดตั้ง,2,72,variant,medium,[c/a/t] | [t/a/N],chattang,chaddtahng; chaddtang; chaddtung; chadtahng; chadtang; chadtung; chahddtahng; chahddtang; chahddtung; chahdtahng; chahdtang; chahdtung; chahtdtahng; chahtdtang; chahtdtung; chahttahng; chahttang; chahttung; chatdtahng; chatdtang; chatdtung; chattahng; chattang; chattung; chuddtahng; chuddtang; chuddtung; chudtahng; chudtang; chudtung; chutdtahng; chutdtang; chutdtung; chuttahng; chuttang; chuttung; jaddtahng; jaddtang; jaddtung; jadtahng; jadtang; jadtung; jahddtahng; jahddtang; jahddtung; jahdtahng; jahdtang; jahdtung; jahtdtahng; jahtdtang
1470,รองรับ,2,24,variant,medium,[r/OO/N] | [r/a/p],rongrap,rawngrab; rawngrahb; rawngrahp; rawngrap; rawngrub; rawngrup; rohngrab; rohngrahb; rohngrahp; rohngrap; rohngrub; rohngrup; rongrab; rongrahb; rongrahp; rongrap; rongrub; rongrup; rorngrab; rorngrahb; rorngrahp; rorngrap; rorngrub; rorngrup
1507,ลอรีเอะ,3,12,compound,medium,[l/OO/] | [r/ii/] | [?/e/],lori-e,lawreee; lawrie; lawriie; lohreee; lohrie; lohriie; loreee; lorie; loriie; lorreee; lorrie; lorriie
1525,กุมภาพันธ์,3,100,compound,medium,[k/u/m] | [ph/aa/] | [ph/a/n],kumphaphan,goompaapahn; goompaapan; goompaaphahn; goompaaphan; goompaaphun; goompaapun; goompahpahn; goompahpan; goompahphahn; goompahphan; goompahphun; goompahpun; goompapahn; goompapan; goompaphahn; goompaphan; goompaphun; goompapun; goomparpahn; goomparpan; goomparphahn; goomparphan; goomparphun; goomparpun; goomphaapahn; goomphaapan; goomphaaphahn; goomphaaphan; goomphaaphun; goomphaapun; goomphahpahn; goomphahpan; goomphahphahn; goomphahphan; goomphahphun; goomphahpun; goomphapahn; goomphapan; goomphaphahn; goomphaphan; goomphaphun; goomphapun; goompharpahn; goompharpan; goompharphahn; goompharphan; goompharphun; goompharpun; gumpaapahn; gumpaapan
1529,คนงาน,2,16,variant,medium,[kh/o/n] | [N/aa/n],khonngan,khohnngaan; khohnngahn; khohnngan; khohnngarn; khonngaan; khonngahn; khonngan; khonngarn; kohnngaan; kohnngahn; kohnngan; kohnngarn; konngaan; konngahn; konngan; konngarn
1576,ศิลปิน,3,4,compound,medium,[s/i/n] | [l/a/] | [p/i/n],sinlapin,sinlabpin; sinlahbpin; sinlahpin; sinlapin
1580,ข้างๆ,1,8,common,medium,[kh/aa/N],khang khang,kaang; kahng; kang; karng; khaang; khahng; khang; kharng
1656,ชนะ,2,8,common,medium,[ch/a/] | [n/a/],chana,chahna; chahnah; chana; chanah; shahna; shahnah; shana; shanah
1673,ทั้งหลาย,2,12,variant,medium,[th/a/N] | [l/aa/j],thanglai,tahnglaai; tahnglai; tanglaai; tanglai; thahnglaai; thahnglai; thanglaai; thanglai; thunglaai; thunglai; tunglaai; tunglai
1705,ป๋อง,1,8,common,easy,[p/OO/N],pong,bpawng; bpohng; bpong; bporng; pawng; pohng; pong; porng
1772,เด้,1,5,common,easy,[d/ee/],de,dae; day; de; dee; deh
1786,ไล่,1,3,common,easy,[l/aj/],lai,laai; lai; laii
1813,แกะ,1,2,common,easy,[k/x/],kae,gae; kae
1869,ชาต,1,16,variant,medium,[ch/aa/t],chat,chaad; chaat; chad; chahd; chaht; chard; chart; chat; shaad; shaat; shad; shahd; shaht; shard; shart; shat
1872,รบกวน,2,16,variant,medium,[r/o/p] | [k/ua/n],ropkuan,robguaan; robguan; robkuaan; robkuan; rohbguaan; rohbguan; rohbkuaan; rohbkuan; rohpguaan; rohpguan; rohpkuaan; rohpkuan; ropguaan; ropguan; ropkuaan; ropkuan
1928,กรุง,1,4,common,easy,[kr/u/N],krung,groong; grung; kroong; krung
2031,ขัด,1,12,variant,medium,[kh/a/t],khat,kad; kahd; kaht; kat; khad; khahd; khaht; khat; khud; khut; kud; kut
2106,รอย,1,2,common,easy,[r/Oj/],roi,roi; roii
2115,อัล,1,3,common,easy,[?/a/n],an,ahn; an; un
2122,เฟรม,1,5,common,easy,[fr/ee/m],frem,fraem; fraym; freem; frehm; frem
2128,โครง,1,4,common,easy,[khr/oo/N],khrong,khrohng; khrong; krohng; krong
2152,มุมมอง,2,8,common,easy,[m/u/m] | [m/OO/N],mummong,moommawng; moommohng; moommong; moommorng; mummawng; mummohng; mummong; mummorng
2161,หารือ,2,16,variant,medium,[h/aa/] | [r/UU/],harue,haareu; haarue; haaruee; haaruh; hahreu; hahrue; hahruee; hahruh; hareu; harreu; harrue; harruee; harruh; harue; haruee; haruh
2253,สตรี,2,12,variant,medium,[s/a/] | [tr/ii/],satri,sadtree; sadtri; sadtrii; sahdtree; sahdtri; sahdtrii; sahtree; sahtri; sahtrii; satree; satri; satrii
2278,น้ำท่วม,2,16,variant,medium,[n/aa/m] | [th/ua/m],namthuam,naamthuaam; naamthuam; naamtuaam; naamtuam; nahmthuaam; nahmthuam; nahmtuaam; nahmtuam; namthuaam; namthuam; namtuaam; namtuam; narmthuaam; narmthuam; narmtuaam; narmtuam
2342,หมายความว่า,3,100,compound,medium,[mh/aa/j] | [khw/aa/m] | [w/aa/],maikhwamwa,maaikhwaamva; maaikhwaamvaa; maaikhwaamvah; maaikhwaamvar; maaikhwaamwa; maaikhwaamwaa; maaikhwaamwah; maaikhwaamwar; maaikhwahmva; maaikhwahmvaa; maaikhwahmvah; maaikhwahmvar; maaikhwahmwa; maaikhwahmwaa; maaikhwahmwah; maaikhwahmwar; maaikhwamva; maaikhwamvaa; maaikhwamvah; maaikhwamvar; maaikhwamwa; maaikhwamwaa; maaikhwamwah; maaikhwamwar; maaikhwarmva; maaikhwarmvaa; maaikhwarmvah; maaikhwarmvar; maaikhwarmwa; maaikhwarmwaa; maaikhwarmwah; maaikhwarmwar; maaikwaamva; maaikwaamvaa; maaikwaamvah; maaikwaamvar; maaikwaamwa; maaikwaamwaa; maaikwaamwah; maaikwaamwar; maaikwahmva; maaikwahmvaa; maaikwahmvah; maaikwahmvar; maaikwahmwa; maaikwahmwaa; maaikwahmwah; maaikwahmwar; maaikwamva; maaikwamvaa
2348,เกาเหลา,2,72,variant,medium,[k/aw/] | [l/aw/],kaolao,gaaolaao; gaaolao; gaaolaow; gaaolau; gaaolaw; gaaolow; gaolaao; gaolao; gaolaow; gaolau; gaolaw; gaolow; gaowlaao; gaowlao; gaowlaow; gaowlau; gaowlaw; gaowlow; gaulaao; gaulao; gaulaow; gaulau; gaulaw; gaulow; gawlaao; gawlao; gawlaow; gawlau; gawlaw; gawlow; gowlaao; gowlao; gowlaow; gowlau; gowlaw; gowlow; kaaolaao; kaaolao; kaaolaow; kaaolau; kaaolaw; kaaolow; kaolaao; kaolao; kaolaow; kaolau; kaolaw; kaolow; kaowlaao; kaowlao
2389,ปานกลาง,2,64,variant,medium,[p/aa/n] | [kl/aa/N],panklang,bpaanglaang; bpaanglahng; bpaanglang; bpaanglarng; bpaanklaang; bpaanklahng; bpaanklang; bpaanklarng; bpahnglaang; bpahnglahng; bpahnglang; bpahnglarng; bpahnklaang; bpahnklahng; bpahnklang; bpahnklarng; bpanglaang; bpanglahng; bpanglang; bpanglarng; bpanklaang; bpanklahng; bpanklang; bpanklarng; bparnglaang; bparnglahng; bparnglang; bparnglarng; bparnklaang; bparnklahng; bparnklang; bparnklarng; paanglaang; paanglahng; paanglang; paanglarng; paanklaang; paanklahng; paanklang; paanklarng; pahnglaang; pahnglahng; pahnglang; pahnglarng; pahnklaang; pahnklahng; pahnklang; pahnklarng; panglaang; panglahng
2403,ผิดกฎหมาย,3,100,compound,medium,[ph/i/t] | [k/o/t] | [mh/aa/j],phitkotmai,phidgodmaai; phidgodmai; phidgodmhaai; phidgodmhai; phidgohdmaai; phidgohdmai; phidgohdmhaai; phidgohdmhai; phidgohtmaai; phidgohtmai; phidgohtmhaai; phidgohtmhai; phidgotmaai; phidgotmai; phidgotmhaai; phidgotmhai; phidkodmaai; phidkodmai; phidkodmhaai; phidkodmhai; phidkohdmaai; phidkohdmai; phidkohdmhaai; phidkohdmhai; phidkohtmaai; phidkohtmai; phidkohtmhaai; phidkohtmhai; phidkotmaai; phidkotmai; phidkotmhaai; phidkotmhai; phitgodmaai; phitgodmai; phitgodmhaai; phitgodmhai; phitgohdmaai; phitgohdmai; phitgohdmhaai; phitgohdmhai; phitgohtmaai; phitgohtmai; phitgohtmhaai; phitgohtmhai; phitgotmaai; phitgotmai; phitgotmhaai; phitgotmhai; phitkodmaai; phitkodmai
2404,พฤติกรรม,4,100,compound,hard,[ph/a/] | [r/U/] | [t/i/] | [k/a/m],pharuetikam,pahreudtigahm; pahreudtigam; pahreudtigum; pahreudtikahm; pahreudtikam; pahreudtikum; pahreutigahm; pahreutigam; pahreutigum; pahreutikahm; pahreutikam; pahreutikum; pahruedtigahm; pahruedtigam; pahruedtigum; pahruedtikahm; pahruedtikam; pahruedtikum; pahruetigahm; pahruetigam; pahruetigum; pahruetikahm; pahruetikam; pahruetikum; pahruhdtigahm; pahruhdtigam; pahruhdtigum; pahruhdtikahm; pahruhdtikam; pahruhdtikum; pahruhtigahm; pahruhtigam; pahruhtigum; pahruhtikahm; pahruhtikam; pahruhtikum; pareudtigahm; pareudtigam; pareudtigum; pareudtikahm; pareudtikam; pareudtikum; pareutigahm; pareutigam; pareutigum; pareutikahm; pareutikam; pareutikum; paruedtigahm; paruedtigam
2411,แม็ก,1,2,common,easy,[m/x/k],maek,maeg; maek
2448,ย้อน,1,4,common,easy,[j/OO/n],yon,yawn; yohn; yon; yorn
2481,คุณแม่,2,8,common,medium,[kh/u/n] | [m/xx/],khunmae,khoonmaae; khoonmae; khunmaae; khunmae; koonmaae; koonmae; kunmaae; kunmae
2499,กรุ่น,1,4,common,easy,[kr/u/n],krun,groon; grun; kroon; krun
2549,ย่อย,1,2,common,easy,[j/Oj/],yoi,yoi; yoii
2575,ของขวัญ,2,48,variant,medium,[kh/OO/N] | [khw/a/n],khongkhwan,kawngkhwahn; kawngkhwan; kawngkhwun; kawngkwahn; kawngkwan; kawngkwun; khawngkhwahn; khawngkhwan; khawngkhwun; khawngkwahn; khawngkwan; khawngkwun; khohngkhwahn; khohngkhwan; khohngkhwun; khohngkwahn; khohngkwan; khohngkwun; khongkhwahn; khongkhwan; khongkhwun; khongkwahn; khongkwan; khongkwun; khorngkhwahn; khorngkhwan; khorngkhwun; khorngkwahn; khorngkwan; khorngkwun; kohngkhwahn; kohngkhwan; kohngkhwun; kohngkwahn; kohngkwan; kohngkwun; kongkhwahn; kongkhwan; kongkhwun; kongkwahn; kongkwan; kongkwun; korngkhwahn; korngkhwan; korngkhwun; korngkwahn; korngkwan; korngkwun
2583,อุดม,2,4,common,easy,[?/u/] | [d/o/m],udom,oodohm; oodom; udohm; udom
2602,พูดจา,2,100,variant,medium,[ph/uu/t] | [c/aa/],phutcha,phoodcha; phoodchaa; phoodchah; phoodchar; phoodja; phoodjaa; phoodjah; phoodjar; phootcha; phootchaa; phootchah; phootchar; phootja; phootjaa; phootjah; phootjar; phoudcha; phoudchaa; phoudchah; phoudchar; phoudja; phoudjaa; phoudjah; phoudjar; phoutcha; phoutchaa; phoutchah; phoutchar; phoutja; phoutjaa; phoutjah; phoutjar; phudcha; phudchaa; phudchah; phudchar; phudja; phudjaa; phudjah; phudjar; phutcha; phutchaa; phutchah; phutchar; phutja; phutjaa; phutjah; phutjar; phuudcha; phuudchaa
2604,ทับ,1,12,variant,medium,[th/a/p],thap,tab; tahb; tahp; tap; thab; thahb; thahp; thap; thub; thup; tub; tup
2666,เนือง,1,3,common,easy,[n/UUa/N],nueang,neuang; nueaang; nueang
2689,ภาพยนตร์,3,100,compound,medium,[ph/aa/p] | [ph/a/] | [j/o/n],phapphayon,paabpahyohn; paabpahyon; paabpayohn; paabpayon; paabphahyohn; paabphahyon; paabphayohn; paabphayon; paappahyohn; paappahyon; paappayohn; paappayon; paapphahyohn; paapphahyon; paapphayohn; paapphayon; pabpahyohn; pabpahyon; pabpayohn; pabpayon; pabphahyohn; pabphahyon; pabphayohn; pabphayon; pahbpahyohn; pahbpahyon; pahbpayohn; pahbpayon; pahbphahyohn; pahbphahyon; pahbphayohn; pahbphayon; pahppahyohn; pahppahyon; pahppayohn; pahppayon; pahpphahyohn; pahpphahyon; pahpphayohn; pahpphayon; pappahyohn; pappahyon; pappayohn; pappayon; papphahyohn; papphahyon; papphayohn; papphayon; parbpahyohn; parbpahyon
2692,วอ,1,8,edge,easy,[w/OO/],wo,vaw; vo; voh; vor; waw; wo; woh; wor
2775,อะไหล่,2,6,common,easy,[?/a/] | [l/aj/],alai,ahlaai; ahlai; ahlaii; alaai; alai; alaii
