thai,category,english,informal_ref,thpronun_best,thpronun_all_romans,thpronun_num_readings,thpronun_syllables,thpronun_error
หาดใหญ่,places,Hat Yai,hatyai,hatyai,hathayai|hatyai,2,"[[""hat"", ""yai""], [""hat"", ""ha"", ""yai""]]",
ประเทศไทย,places,Thailand,pratetthai,prathetthai,parathasethai|parathasethayai|parathetthai|parathetthayai|prathasethai|prathasethayai|prathetthai|prathetthayai,12,"[[""pra"", ""tha"", ""se"", ""tha"", ""yai""], [""pra"", ""tha"", ""se"", ""thai""], [""pra"", ""thet"", ""tha"", ""yai""]]",
ไป,verbs,to go,pai,pai,pai,1,"[[""pai""]]",
มา,verbs,to come,ma,ma,ma,1,"[[""ma""]]",
กิน,verbs,to eat,kin,kin,kin,1,"[[""kin""]]",
ดู,verbs,to look,doo,du,du,1,"[[""du""]]",
พูด,verbs,to speak,phood,phut,phut,1,"[[""phut""]]",
ฟัง,verbs,to listen,fang,fang,fang,1,"[[""fang""]]",
อ่าน,verbs,to read,aan,an,an,1,"[[""an""]]",
เขียน,verbs,to write,khian,khian,khian,1,"[[""khian""]]",
รัก,verbs,to love,rak,rak,rak,1,"[[""rak""]]",
ซื้อ,verbs,to buy,sue,sue,sue,1,"[[""sue""]]",
ขาย,verbs,to sell,khai,khai,khai,1,"[[""khai""]]",
นอน,verbs,to sleep,non,non,naon|non,3,"[[""na"", ""on""], [""non""], [""na"", ""on""]]",
สนุก,slang,fun,sanuk,sanuk,sanuk,2,"[[""sa"", ""nuk""], [""sa"", ""nuk""]]",
เท่,slang,cool,thae,the,the,1,"[[""the""]]",
แซ่บ,slang,delicious/spicy,saep,saep,saep,1,"[[""saep""]]",
ชิล,slang,chill,chin,chin,chin,1,"[[""chin""]]",
โอเค,slang,okay,okay,okhe,okhe,1,"[[""o"", ""khe""]]",
กลัว,slang,scared,klua,klua,kalua|klua,3,"[[""klua""], [""ka"", ""lua""], [""ka"", ""lua""]]",
เหนื่อย,slang,tired,nuay,nueai,hanueai|nueai,2,"[[""nueai""], [""ha"", ""nueai""]]",
หิว,slang,hungry,hiu,hio,hio,1,"[[""hio""]]",
อร่อย,slang,delicious,aroi,aroi,aroi,2,"[[""a"", ""roi""], [""a"", ""roi""]]",
เผ็ด,slang,spicy,phet,phet,phet,1,"[[""phet""]]",
โรงเรียน,compounds,school,rongrean,rongrian,rangorian|rongarian|rongrian,3,"[[""ra"", ""ngo"", ""rian""], [""rong"", ""rian""], [""ro"", ""nga"", ""rian""]]",
โรงพยาบาล,compounds,hospital,rongphayaban,rangopyaban,rangophayaban|rangophayapban|rangopphayaban|rangopphayapban|rangopyaban|rangopyapban|rongaphayaban|rongaphayapban|rongngaphayaban|rongngaphayapban|rongngopyaban|rongngopyapban|rongopyaban|rongopyapban|rongphayaban|rongphayapban,26,"[[""ra"", ""ngop"", ""yap"", ""ban""], [""ra"", ""ngop"", ""ya"", ""ban""], [""ro"", ""ngop"", ""yap"", ""ban""]]",
สนามบิน,compounds,airport,sanambin,sanambin,sanamabin|sanambin|sanammabin,10,"[[""sa"", ""nam"", ""ma"", ""bin""], [""sa"", ""nam"", ""ma"", ""bin""], [""sa"", ""na"", ""ma"", ""bin""]]",
มหาวิทยาลัย,compounds,university,mahawittayalai,mahawityalai,mahaowithayalai|mahaowithayanlai|mahaowitthayalai|mahaowitthayanlai|mahaowityalai|mahaowityanlai|mahawithayalai|mahawithayanlai|mahawitthayalai|mahawitthayanlai|mahawityalai|mahawityanlai,40,"[[""ma"", ""hao"", ""wit"", ""yan"", ""lai""], [""ma"", ""hao"", ""wit"", ""ya"", ""lai""], [""ma"", ""hao"", ""wit"", ""tha"", ""yan"", ""lai""]]",
โทรศัพท์,compounds,telephone,thorasap,thonsap,tharosap|tharotsap|thonrasap|thonsap|thorasap|throsap|throtsap,9,"[[""thon"", ""ra"", ""sap""], [""thon"", ""ra"", ""sap""], [""tho"", ""ra"", ""sap""]]",
คอมพิวเตอร์,compounds,computer,khompiwtoe,khomphiotoe,khaamaphiotoe|khaamaphiwatoe|khaomphiotoe|khaomphiwatoe|khomaphiotoe|khomaphiwatoe|khomphiotoe|khomphiwatoe,14,"[[""kho"", ""ma"", ""phio"", ""toe""], [""kho"", ""ma"", ""phio"", ""toe""], [""kho"", ""ma"", ""phi"", ""wa"", ""toe""]]",
ห้องน้ำ,compounds,bathroom,hongnam,hongnam,honganam|hongnam,3,"[[""ho"", ""nga"", ""nam""], [""ho"", ""nga"", ""nam""], [""hong"", ""nam""]]",
ตลาด,compounds,market,talat,talat,talat,2,"[[""ta"", ""lat""], [""ta"", ""lat""]]",
รถไฟ,compounds,train,rotfai,rotfai,rathafai|rotfai,2,"[[""rot"", ""fai""], [""ra"", ""tha"", ""fai""]]",
ตำรวจ,compounds,police,tamruat,tamruat,tamrawot|tamruat,3,"[[""tam"", ""ra"", ""wot""], [""tam"", ""ruat""], [""tam"", ""ra"", ""wot""]]",
แท็กซี่,loanwords,taxi,taxi,thaeksi,thaeksi,1,"[[""thaek"", ""si""]]",
อินเทอร์เน็ต,loanwords,internet,internet,inthoenet,inathoenet|inthoenet,2,"[[""in"", ""thoe"", ""net""], [""i"", ""na"", ""thoe"", ""net""]]",
เฟซบุ๊ก,loanwords,Facebook,facebook,fetbuk,fasebuk|fasepbuk|fesabuk|fetbuk|fetsabuk,7,"[[""fet"", ""sa"", ""buk""], [""fet"", ""sa"", ""buk""], [""fe"", ""sa"", ""buk""]]",
ไลน์,loanwords,LINE,line,lai,lai,1,"[[""lai""]]",
กูเกิล,loanwords,Google,google,kukoen,kukoen,1,"[[""ku"", ""koen""]]",
ช็อกโกแลต,loanwords,chocolate,chocolate,chokkolaet,chokkolaet|chokkolatae,2,"[[""chok"", ""ko"", ""la"", ""tae""], [""chok"", ""ko"", ""laet""]]",
พิซซ่า,loanwords,pizza,pizza,phitsa,phisasa|phitsa,3,"[[""phi"", ""sa"", ""sa""], [""phi"", ""sa"", ""sa""], [""phit"", ""sa""]]",
ฟุตบอล,loanwords,football,football,futbon,futabaon|futabon|futbaon|futbon|futopon|futtabaon|futtabon|futtopon,13,"[[""fut"", ""ta"", ""bon""], [""fut"", ""ta"", ""ba"", ""on""], [""fut"", ""ta"", ""bon""]]",
วิดีโอ,loanwords,video,video,widio,widio|witdio,2,"[[""wit"", ""di"", ""o""], [""wi"", ""di"", ""o""]]",
เซลฟี,loanwords,selfie,selfie,selafi,selafi,2,"[[""se"", ""la"", ""fi""], [""se"", ""la"", ""fi""]]",
ครับ,common,polite particle (male),khrap,khrap,kharap|khrap,3,"[[""khrap""], [""kha"", ""rap""], [""kha"", ""rap""]]",
ค่ะ,common,polite particle (female),kha,kha,kha,1,"[[""kha""]]",
พี่,common,older sibling,phi,phi,phi,1,"[[""phi""]]",
น้อง,common,younger sibling,nong,nong,nong,1,"[[""nong""]]",
แม่,common,mother,mae,mae,mae,1,"[[""mae""]]",
พ่อ,common,father,pho,pho,pho,1,"[[""pho""]]",
เงิน,common,money,ngoen,ngoen,ngoen,1,"[[""ngoen""]]",
เวลา,common,time,wela,wela,walao|wela|wenla,3,"[[""wa"", ""lao""], [""wen"", ""la""], [""we"", ""la""]]",
สวย,common,beautiful,suay,suai,suai,1,"[[""suai""]]",
หล่อ,common,handsome,lor,lo,halo|lo,3,"[[""lo""], [""ha"", ""lo""], [""ha"", ""lo""]]",
